iter,total,val_l2,elapsed,L_ic,L_vel,L_bc_u,L_bc_m,L_pde,lam_ic,lam_vel,lam_bc_u,lam_bc_m,lam_pde
1,1.7505536079406738,2.3946782596690386,1.1325666904449463,0.5442142486572266,0.01357538253068924,0.01275172270834446,0.06944937258958817,8.511768214702897e-07,2.8174495259925743,5.0817826247247195,3.099468458840144,1.5361311118136378,2424.0041332853175
100,0.984438419342041,1.0361639359007264,12.065773963928223,0.28074026107788086,0.00030630797846242785,0.05856011435389519,0.0043037813156843185,1.5651424973839312e-06,2.8174495259925743,5.0817826247247195,3.099468458840144,1.5361311118136378,2424.0041332853175
200,2.211089611053467,1.0394396358176476,23.853429079055786,0.29487311840057373,0.0012879051500931382,0.06506650149822235,0.004677632823586464,9.344762474938761e-06,6.051991997968031,4.457101771551655,6.044640275539213,1.730402532017439,2074.101919327919
300,1.5990930795669556,1.0414103500302014,35.33743166923523,0.19147264957427979,0.003631532657891512,0.04791068285703659,0.04047660902142525,3.108446253463626e-05,6.051991997968031,4.457101771551655,6.044640275539213,1.730402532017439,2074.101919327919
400,3.02693772315979,1.028576707758388,47.852030992507935,0.19730553030967712,0.008578536100685596,0.05727054178714752,0.00740460492670536,4.102579259779304e-05,11.484396886640388,3.426328945906026,11.550312785899857,1.944508903538794,1358.1453791853407
500,2.5445871353149414,1.0281310424595276,58.49210238456726,0.15804962813854218,0.02319478429853916,0.039067115634679794,0.011821895837783813,0.00012942955072503537,11.484396886640388,3.426328945906026,11.550312785899857,1.944508903538794,1358.1453791853407
600,4.4282307624816895,1.017136655791105,70.61763668060303,0.1648336797952652,0.013837669976055622,0.02672160416841507,0.007115205284208059,0.0001614486682228744,22.127680415985104,2.654771590616261,22.611072698667623,2.2122626363357263,769.0558913599613
700,3.4482712745666504,0.9978535676509721,81.43179845809937,0.09374096244573593,0.039421599358320236,0.023811759427189827,0.01842826046049595,0.0008974227821454406,22.127680415985104,2.654771590616261,22.611072698667623,2.2122626363357263,769.0558913599613
800,5.524294376373291,0.9801795962117977,93.71855592727661,0.07202627509832382,0.019754553213715553,0.017992932349443436,0.04026612639427185,0.0007834509015083313,55.02167067256812,2.5060165906258627,60.90751907926392,2.0278911111253124,426.603112219212
900,2.967226028442383,0.958767002486316,104.83576321601868,0.01817360147833824,0.027856525033712387,0.003786522662267089,0.04179231822490692,0.003708592848852277,55.02167067256812,2.5060165906258627,60.90751907926392,2.0278911111253124,426.603112219212
1000,2.3199594020843506,0.9455424469184555,117.2218747138977,0.010441716760396957,0.018813692033290863,0.002762400545179844,0.04822899028658867,0.003559035947546363,85.4707537799659,2.417125050665065,144.97107508309756,1.9335386133875332,249.5906316362329
