iter,total,val_l2,elapsed,L_ic,L_vel,L_bc_u,L_bc_m,L_pde,lam_ic,lam_vel,lam_bc_u,lam_bc_m,lam_pde
1,0.4490698575973511,1.6383465708774803,0.08166885375976562,0.43121710419654846,0.015126289799809456,0.0025406954810023308,0.0001856327726272866,1.1171515268415533e-07,1.0,1.0,1.0,1.0,1.0
100,0.2768600881099701,1.153292160103064,7.184901237487793,0.18285435438156128,0.01217235904186964,0.08122717589139938,0.0005997359985485673,6.475450845755404e-06,1.0,1.0,1.0,1.0,1.0
200,0.1434168666601181,1.0224251797115675,13.85094666481018,0.08647634088993073,0.002089517656713724,0.04782314598560333,0.001450748066417873,0.005577113013714552,1.0,1.0,1.0,1.0,1.0
300,0.16412627696990967,0.9411776031311636,20.221816539764404,0.09298194199800491,0.00100878591183573,0.05243881791830063,0.00479845842346549,0.012898283079266548,1.0,1.0,1.0,1.0,1.0
400,0.12115195393562317,0.9050966487070561,26.626420974731445,0.0748881995677948,0.00027953830431215465,0.026686538010835648,0.0020733431447297335,0.017224330455064774,1.0,1.0,1.0,1.0,1.0
500,0.09227883070707321,0.9403579451122555,33.262064695358276,0.04041410982608795,0.0032160403206944466,0.021077048033475876,0.0050333295948803425,0.022538302466273308,1.0,1.0,1.0,1.0,1.0
600,0.07836419343948364,0.9148159880905282,39.70249104499817,0.03174499422311783,0.0014330786652863026,0.019089696928858757,0.005280354060232639,0.020816074684262276,1.0,1.0,1.0,1.0,1.0
700,0.05974822863936424,0.9239690846120708,46.164700508117676,0.018066566437482834,0.0016842309851199389,0.009685760363936424,0.004496046341955662,0.025815624743700027,1.0,1.0,1.0,1.0,1.0
800,0.04864756390452385,0.9132739647221394,53.149484157562256,0.010570772923529148,0.003058440051972866,0.00736268050968647,0.00183575670234859,0.025819914415478706,1.0,1.0,1.0,1.0,1.0
900,0.04006779566407204,0.8856190766844985,59.91921639442444,0.008570536971092224,0.0017236573621630669,0.00463190907612443,0.0031400457955896854,0.02200164645910263,1.0,1.0,1.0,1.0,1.0
1000,0.03421100974082947,0.8542167271187627,66.53366422653198,0.005817635916173458,0.0008312937570735812,0.005501198582351208,0.0033698631450533867,0.018691018223762512,1.0,1.0,1.0,1.0,1.0
1100,0.030666572973132133,0.8310215239771964,73.50033068656921,0.004994030110538006,0.0004407311789691448,0.004425135441124439,0.0022511479910463095,0.018555527552962303,1.0,1.0,1.0,1.0,1.0
1200,0.028366144746541977,0.8060643878129206,79.89136695861816,0.0032157180830836296,0.0010860584443435073,0.004911954049021006,0.002525986172258854,0.016626428812742233,1.0,1.0,1.0,1.0,1.0
1300,0.024570822715759277,0.7903123866809094,86.85062384605408,0.0036384286358952522,9.382663120049983e-05,0.005663397256284952,0.0009815969970077276,0.014193573966622353,1.0,1.0,1.0,1.0,1.0
1400,0.022877244278788567,0.7746922350312574,93.58734250068665,0.0026665199548006058,0.00020888895960524678,0.004849483259022236,0.001869961153715849,0.01328239031136036,1.0,1.0,1.0,1.0,1.0
1500,0.021409787237644196,0.7591235201487483,100.36330437660217,0.0020752991549670696,8.607201743870974e-05,0.0049772378988564014,0.0010773343965411186,0.013193843886256218,1.0,1.0,1.0,1.0,1.0
1600,0.020599953830242157,0.7501480905885336,107.03033351898193,0.0015686670085415244,8.049154712352902e-05,0.005545660387724638,0.0016198827652260661,0.011785252019762993,1.0,1.0,1.0,1.0,1.0
1700,0.021672165021300316,0.7304820889421856,113.87055778503418,0.0016312208026647568,0.00019605897250585258,0.006102798040956259,0.0011012832401320338,0.012640804052352905,1.0,1.0,1.0,1.0,1.0
1800,0.018692906945943832,0.7177910550697705,120.4444637298584,0.0016174737829715014,8.692200208315626e-05,0.005218330770730972,0.0006459688884206116,0.011124211363494396,1.0,1.0,1.0,1.0,1.0
1900,0.018908947706222534,0.7130665484610424,127.3272123336792,0.0015314219053834677,0.00030082452576607466,0.005637877620756626,0.0006022662855684757,0.010836556553840637,1.0,1.0,1.0,1.0,1.0
2000,0.017375901341438293,0.7022681757433649,134.53344202041626,0.0010156321804970503,0.00019551225705072284,0.005898610223084688,0.00047731836093589664,0.009788828901946545,1.0,1.0,1.0,1.0,1.0
