cell,NTK,causal,rel-L2,RMSE,max err,PDE res (nd),IC err,BC err,freq err,train [s]
A_fourier_only,False,False,0.990372,0.49518,1.0963,56.069,0.0196749,0.0202079,0.136353,468.969
B_fourier_ntk,True,False,0.41097,0.205482,0.602366,18.5629,0.00384964,0.00274822,0.0142822,465.412
C_fourier_causal,False,True,1.05606,0.528021,1.18886,117.762,0.0137321,0.00691749,0.0570068,3649.06
D_proposed,True,True,1.05111,0.52555,1.49551,122.686,0.00706187,0.0033692,0.691772,2529.52
